word,meaning,dailyKey
encontrar,"v. t. kukuma v. t. || [não encontrar]: kupfúmálá v. t. 2. v. pron. a) (achar-se, haver, existir) kukumeka v. i. b) (encontrar-se com) kukumana, kudíváná, kuhlangana, kukotlana v. rec.",20250922
alegria,"s. f. a) kutsaka (ku), ntsaku (mu-mi). b) (bonacheirice, jocosidade) rihleko (ri-ma) (geralmente no plural).",20250923
celebrar,"v. t. a) (fazer realizar com solenidade; promover) kurhángélá, kufámbísa v. caus. b) (festejar) kuyendla nkhuvu v. i. c) (publicar com louvor; exaltar) kutlángélá v. t., kudzunisa, kutlakusa v. caus. d) (acolher com festejos, comentários, demonstrações ruidosas, etc.) kuyamukela hí mintlóló v. t.; kukúlúngéla v. t. e) (concluir (um acto ou contrato)) kutiyísa v caus., kufunga v. t. f) (dizer, rezar (missa); dirigir (culto)) kukhóngélísa v. caus. kuyendla mísa v. i.; kufámbísá sónto, kusóntísa v. caus.",20250924
verificar,"1. v. t. kukámbísísa, kuxópáxópa, kuxíyísísa, kukhexa v. t., kuchéká v. t. (l) check. 2. v. pron. kuvónéká, kuyendleka, kuhúméléla v. i.",20250925
hoje,"adv. a) namúntlha | nyamúntlha adv. b) (na época que corre, actualmente) masíkú lawa (loc. adv., namúntlha adv).",20250926
estudar,"v. t. a) (aprender) kujóndzá, kufúndhá v. t. b) (analisar, assuntar-se sobre) kuxópáxópa, kujóndzá, kukámbá, kutlhantlha, kuxíyá v. t., kunalizara v. t. (P) analisar.",20250927
aplaudir,"v. t. (incitar, aplaudir, por exemplo a um cantor, um artista em palco) kukhúzá, kukhúzélá v. t. (Z) ukukhuza. || [aplaudir, por exemplo, a um cantor, um artista em palco, oferecendo-lhe dinheiro ou outro bem de ocasião]: kukhómbá, kuqókóléla, kuchachazela v. t. 2. v. i. (aplaudir batendo as palmas) kubá mándla, kubá mavókó, kuphókótá mándla, kuphókótá mavókó kuphákátá mándla, kuphákátá mavókó; kuphókótéla | kuphákátéla v. i.",20250928
sorriso,"s. m. kuhlekelela, kun'wayitela, kub'onyozela, kurhun'wata (kn), n'wayitelo, b'onyozelo (mu-mi).",20250929
fruta,s. f. mihandzu (mi); handzu (mu-mi). || [fruta seca]: svitsómbé (svi).,20250930
entregar,"v. t. kunyíkélá, kunyíkétá, kuhéndléléta v. t. [entregar de má vontade, atirando]: kudládláláta, kudlídlíríta, kupípíríta, kugígíríta, kuhíhílíta v. t. 2. v. pron. kutinyíkélá, kutinyíkétá v. pron.",20251001
sugerir,v. t. kuxungameta; kutlhávúkányísa; kuvéká mavónélá; kukómbísá v. t.,20251002
adaptar,"v. t. kuyelanisa; kubámbíyéta v. t. b) (habituar, acostumar, afazer, adaptar) kutólóvéta v. caus. c) (ajustar a uma situação sem estar, ou não estando inteiramente, de acordo com ela) kubámbíyéta, kurhén-dzévéta v. t. d) (aplicar, apor) kuvékéla v. t. kudapitara (P). adaptar. 2. v. pron. kutólóvéla v. i.",20251003
participar,"v. t. a) (avisar) kutivisa v. t.. b) (fazer queixa, denunciar) kumangalela, kuqeva (ku). c) (ter ou receber parcela de um todo) kuyaveliwa, kulawuliwa v. pass.. d) (tomar parte) kukumeka, kuhlengela v. i.",20251004
voar,"v. i. kuhaha, kupuruma v. i.",20251005
atender,"v. t. a) (dar atenção, fazer caso de; levar em conta) kunaka, kukhátáléla, kulondzisa kulondza v. t., kutendera v. t. (P). b) (prestar auxilio a) kutsutsumela kupfuna v. t. c) (responder, por exemplo, a um chamado, a uma chamada telefónica) kuhlamula, kuyangula v. t., kutendera v. t. (P).",20251006
guiar,"v. t. a) (conduzir) kufámbísá; kukómbá (ndléla) v. t. b) (aconselhar) kuvónísá, kululeka v. t.",20251007
exemplificar,"v. t. kufanisa, kukómbísá, kuringanisa, kupimanisa, kuringanyeta v. t.",20251008
capacitar,"v. t. kutlháríhísa v. caus., kunyíká ntámu v. t.",20251009
família,"s. f. a) njangu, munti (mu-mi), nghámú (yi-ti), b) (parente) xaka (ri-ma). c) (ascendência, linhagem) rixaka (ri-ti).",20251010
lembrar,"v. t. (fazer lembrar) kurímúxá, kurímúkísa, kutsúndzúxá, kutsúndzúkísa, kuyanakanyisa, kukúmbúxá, kukhúmbúzá v. caus. 2. v. i. & pron. (lembrar-se) kurímúká, kutsúndzúká, kukúmbúká, kukhúmbúlá, kuyanakanya v. t.",20251011
grande,adj. 2 gen. -kúlú adj. || [muito grande]: -kúlúkumba adj.,20251012
fortalecer,v. t. kutíyísá v. caus.,20251013
juntar,"v. t. a) (pôr junto) kuhlanganisa v. caus., kuhlengeleta v. t. b) (misturar) kupfángányisa | kupfángá, kupfángányéta, kudívánísa v. caus., kukátsá, kupátsá v. t. c) (acrescentar) kuyengeta, kuyengetela, kutlhantekela v. t. 2. v. pron. a) (juntar-se; misturar-se) kuhlangana, kuhlengeletana, kub'útháná; kupfángáná, kukátsáná, kupátsáná, kudivana v. rec. b) (amasiar-se) kuhanya ní mbuye v. i.; kutitlhúvá v. pron. (Diz-se da mulher.).",20251014
brilhar,"v. t. kuvangama, kuphatima | kuhatima v. i., kuvayivayi, kuphatiphati, ideo. || (brilhar por um momento) kutsayita v. i.",20251015
vento,"s. m. móyá (mu-mi), méhó | mhéhó (yi-ti). || [vento acompanhado de poeira]: búbutsa (ri-ma). || [vento do leste]: mfenyá (yi-ti). || [vento do sudoeste]: mfenyánkúlú (yi-ti), ximbhémbwé (xi-svi). || [vento sul]: madzóngá (mu-va).",20251016
horizonte,"s. m. a) (linha do horizonte) magimamusi (ku), vugimamusi (vu). b) (perspectiva) lángútélo (ri-ma).",20251017
corrigir,"v. t. kululeka, kulungisa | kulunghisa, kululamisa v. caus.",20251018
voltar,"1. v. t. a) (mudar de posição ou direcção) kuhundzuluta, kuhundzuketa, kundzúlútá v. caus. b) (virar de baixo para cima) kujima v. t. c) (dirigir, apontar) kukóngóméta v. caus., kukómbeta, kuxungameta v. t. 2. v. i. a) (ir ou dirigir-se ao ponto de onde partiu; regressar, retornar) kutlhela v. i. || [ir de volta à casa, ao lugar habitual]: kumúká, kutlhelela v. i. || [vir de volta à casa, ao lugar habitual]: kuvúyá v. i. || [voltar ao curral de manhã cedo depois de uma rápida pastagem, para a ordenha - Diz-se do gado.]: kubúthá | kuvúthá v. i. || [voltar a si]: kuxálámúka | kukálámúka, kusísímúka, kuqavuka v. i. || [voltar a]: kutlhela, kuyengeta, kuphinda v. aux. b) (virar-se) kudiba v. i. Ex.: O carro voltou-se. Móvha wúdíbíle. 3. v. pron. a) (voltar-se, revirar-se) kutshúkátshúka | kuchúkáchúka, kuhundzuluka, kuhundzukula, kundzúlúká v. i. b) (revoltar-se, insurgir-se) kuhundzukela, kupfúkélá v. apl.",20251019
motivar,"v. t. a) (dar motivo a; causar; produzir) kuvanga v. t., kuvangela v. apl.. b) (incitar, interessar) kususumeta, kuhlohlotela, kukucetela v. t.; kunyanyukisa v. caus.",20251020
saber,1. v. t. & i. kutívá v. t. & i. 2. s. m. (conhecimento) vutíví (vu).,20251021
trabalhar,"1. v. t. (pôr em obra; lavrar; esmerar-se na feitura ou execução de; pôr (pessoa, grupo, colectividade) em condições de assumir determinado papel) kutirha v. t., kusévénzhá v. t. (Z) . 2. v. i. a) (ocupar-se em algum mister; exercer o seu oficio) kutirha v. i., kusevénzhá v. i. (Z), kujóbá | kujópá v. i. (l) job . b) (estar em funcionamento, em movimento; funcionar) kutirha v. i.",20251022
beijar,"v. t. kunqunta v. t., kukhísá v. t. (1) kiss, kutéká khísi, kupsómpsá khísi v. t., kubexjara, kubexjinyara v. t. (P).",20251023
