index,word,meaning
0,a I,"1. art. def. f. lweyi, lexi, leyi, etc. dem.1. Ex.: casa grande / a casa grande yindlo yikúlu / yindlo léyí yikúlu. NOTA: Cf Tabela de concordância nominal na coluna dos demonstrativos. 2. pron.p. (f. do pron. ps. da 3. pp p. do sing., o, forma obliqua) mu, xi, yi, etc. marca de conc.2. Ex.: Chamei-a. Ndzimúvítáníle. NOTA: Cf Tabela de concordância nominal na coluna dos objectos. 3. pron.dem. (aquela) lweyi, lexi, leyi, etc. dem.3. Ex.: a que vi. lweyi ndzímuvóneké. NOTA: Cf Tabela de concordância nominal na coluna dos demonstrativos."
1,a II,"prep. a) ká, éká, lé part. gen.5. Ex.: Vou a Nampula Niya lé Nampula. b) hí prep. Ex.: Foram a pé. Váfámbé hí mílénge. c) (se, caso) loko conj.6. Ex.: A sairmos agora, podemos encontrar comida. Loko hósuka svósvi, hingákúmá svákujá."
2,aba,"s. f. a) (parte pendente de certas peças de uma veste; rebordo de chapéu) xigebegebe (xi-svi). b) (prolongamento, geralmente dobrável, de tampo de mesa ou de outros móveis) ndlevé (yi-ti). (ext.) [cf. orelha]. c) (lugar contiguo, adjunto (a outro)) nyongá (yi-ti). [cf. ilharga]. d) (costa que limita um mar, rio, lago, etc.; margem) ridongá (ri-ti), ribúwá (ri-ti) (plural: timbhúwá). e) (base de montanha) rigingirhi (ri-ti). f) (Arquit.) (prolongamento de telhado além da prumada da parede) rikupakupa (ri-ti)."
3,abacate,s. m. bakáta (ri-ma).
4,abacateiro,s. m. mbhakáta (mu-mi).
5,abacaxi,s. m. xiketse xiketsa (xi-svi).
6,ábaco,"s. m. xipfúnákúkónta (xi-svi), ábaku (ri-ma). (P)."
7,abade,s. m. (pároco) mufúndhisá (mu-va).
8,abadia,s. f. (paróquia) xifundzá (xi-svi).
9,abado,adj. -á xígébégébe loc. adj.
10,abafadiço,"adj. a) (susceptível de sufocações ou abafamentos) -á xikhumísa loc. adj. b) (abafado) -á kúvángá xikhumé, -á kúvángá xihlúkú loc. adj."
11,abafado,"adj. a) (que produz sufocação) -á kúvángá xikhumé, á kúvángá xihlúkú loc. adj. b) (que não se divulgou, não veio a público) -á kufíhlíwá loc. adj."
12,abafador,"1. adj. (que abafa; abafado) -á kutlímbá, -á kuvangá xihlúkú; -á kukúfúméla loc. adj. 2. s. m. a) (agasalho) xifúnéngélo, xikúfúmélísi (xi-svi). b) (Moç.) (o berlinde maior do conjunto) gulugulu, guluvéta, (ri-ma), bafadóri (ri-ma). (P)."
13,abafadura,"s. f. a) (acto ou efeito de abafar) kutlímbá, kukámanyéta (ku), nkámányéto (mu-mi). b) (falta de ar; sufocação) xihlúkú, xihihí, xikurhwákurhwána (xi-svi)."
14,abafamento,"s. m. a) (acto ou efeito de abafar) kutlímbá, kukámanyéta (ku), nkámányéto (mu-mi). b) (falta de ar; sufocação) xikhumé, xihlúkú, xihihí (xi-svi). (xi-svi)."
15,abafar,"1. v. t. a) (cobrir, para conservar o calor; dificultar a evaporação) kukhúbúméta kukhúbúnyéta v. t. || [abafar, por exemplo, o arroz ao fogo, para lhe conservar o calor até acabar de cozer]: kubafarisa v. caus. (P). b) (impedir a combustão de) kutlímbá v. t. c) (dificultar a respiração de; sufocar; matar por asfixia) kutlímbá, kuvangela xihlúkú, kuvangela xikhumé v. t. d) (impedir o desenvolvimento de; não deixar crescer ou expandir-se) kukámányéta v. t. e) (esconder, encobrir) kufíhlá v. t. f) (amortecer, abrandar o som de) kuhúngútá, kurheleta kurheta v. caus. 2. v. i. a) (sufocar(-se)) kutlímbéká i. || [abafar, por exemplo, o arroz ao fogo, para The conservar o calor até acabar de cozer): kubafara vi. (P). b) (respirar com dificuldade; sufocar-se) kuhéfémútéka, kukáméká i. c) (fazer calor intenso) kuhísá v. i. 3. v. pron. (respirar com dificuldade; sufocar-se, asfixiar-se) kuhéfémútéka, kukáméká v. i."
16,abafo,"s. m. a) (agasalho) (xiyambalu) xá kukúfúméla (xi-svi). b) (falta de ar) xihlúkú, xihihí (xi-svi)."
17,abainhar,"v. t. kumenya v. t., kubayinyara 1. t. (P)."
18,abaixadela,s. f. kuxikanyana (ku).
19,abaixado,"adj. a) (tornado baixo ou mais baixo) -á kúxíxíwa, -á kúyéhlísíwa loc. adj. b) (humilhado) -á kutsóngáhátíwa, -á kútshóvíwa loc. adj."
20,abaixador,adj. & s. m. xixixi (xi-svi).
