word,value
uma,1721728
está,1560804
do,1326397
os,1152823
isso,1059554
da,1023418
na,769683
foi,632389
estou,613532
vamos,610796
vai,581657
tem,550585
minha,510412
ser,505828
ao,493170
tenho,489679
vou,482399
sei,464329
porque,420943
estás,415214
sou,356720
quero,353642
sua,341840
pode,336746
disse,308087
eles,307179
estava,304455
esta,303931
todos,302777
posso,292576
dos,292390
temos,284748
este,279667
acho,261756
tens,259203
tua,245313
obrigado,235731
certo,227682
estamos,212978
sabe,206097
olá,198790
anos,197940
sabes,191983
ti,189671
dele,186355
alguma,185743
das,184180
parece,180766
sr,179648
boa,178679
vais,178199
faz,174067
queres,169360
diz,163022
pessoas,159461
tipo,150708
oh,142958
outra,140265
podes,135329
podemos,129288
pela,128082
deve,126628
daqui,126203
olha,125566
disso,123036
toda,122246
meus,120397
seja,117458
num,117330
nossa,112395
queria,111055
dá,110108
seus,108241
dela,107016
têm,106843
passa,102699
embora,102335
aconteceu,99829
deixa,99655
vem,97774
nas,97697
pensar,95672
vezes,94545
numa,92607
todas,92352
vi,91351
aos,90930
porquê,86119
desculpe,85563
obrigada,84629
querida,84464
sinto,83910
pensei,81957
los,81556
homens,80979
dias,80651
sabia,80519
fui,80460
uns,79216
podem,77493
fica,76107
achas,75922
somos,75501
horas,75039
suas,71198
tenha,70687
amigos,70685
precisa,70482
fiz,70393
deles,70207
ia,69763
devia,69591
minutos,68921
foram,68397
si,68234
diga,67026
podia,66725
seria,66698
outros,66057
fosse,64557
lhes,63423
sido,61035
minhas,61012
aquela,60731
primeira,59210
deixe,59077
precisamos,57769
espero,57505
tive,57347
olhos,57217
vejo,56813
acabou,56448
desta,56429
estes,55953
neste,55106
for,54591
dr,53019
ouve,52853
estas,52593
querem,52329
filha,51928
juntos,51640
teus,51432
umas,50653
última,50378
acredito,50039
nossos,49859
ouvi,49410
deu,49362
disto,49210
algumas,48860
poderia,48541
digo,48315
nisso,47899
viu,47084
espere,46559
mesma,46463
deste,46022
problemas,45852
importa,45354
disseste,45057
significa,44843
sabem,44580
havia,43755
sai,43698
teve,43620
nenhuma,43364
chega,43105
rapazes,43062
fizeste,42626
morreu,42393
sabemos,42145
meses,41648
mulheres,41289
devo,40560
sra,40293
pergunta,40287
eram,40243
fazes,40131
porra,40093
olhe,40061
muitas,39658
filhos,39068
fazendo,38585
muitos,38573
teria,38244
elas,38144
venha,38093
muita,37722
pena,37628
gosta,37576
nesta,37446
vindo,37338
tivesse,37072
vossa,36599
pensa,36555
gostaria,36387
sente,36006
essas,35945
estavam,35322
plano,35218
esses,35108
dizem,34963
falta,34886
fazem,34481
devias,34310
matou,34291
nossas,34142
foste,34094
adoro,33955
exactamente,33897
tuas,33792
consegue,33433
possa,33277
fique,33118
passou,32994
pelos,32657
ficou,32647
continua,32525
estavas,32302
precisas,32035
outras,31974
deixou,31745
semanas,31603
chegou,31470
fico,31343
lembro,31130
esteja,30928
perguntar,30865
cala,30469
houve,30393
partir,30387
deveria,30224
existe,29932
boas,29861
quiser,29704
pare,29685
quis,29527
viste,29308
lembra,29240
estive,29099
conhece,28783
las,28650
vim,28338
encontrei,28333
raios,28203
aqueles,28048
consegues,27848
devem,27646
gostava,27515
queremos,27414
linda,27406
peço,27322
acontece,27218
trouxe,27150
esteve,27135
pequena,27124
fazemos,26903
achei,26427
mortos,26234
grandes,25934
connosco,25698
deves,25607
veja,25477
entra,25431
entendo,25188
nave,24996
certa,24886
dou,24787
lembras,24720
devemos,24654
disseram,24176
preocupes,24175
perguntas,24147
interessa,24138
palavras,23874
senhores,23830
falando,23758
notícias,23752
acabei,23708
estiver,23684
tinhas,23449
fizeram,23283
faria,23189
consegui,22907
nessa,22836
gostas,22828
bonita,22788
real,22708
completamente,22692
dessa,22537
pelas,22441
segunda,22236
acredita,22214
quiseres,22206
daí,22191
desse,21946
viva,21943
tipos,21844
dizes,21839
deixem,21730
melhores,21663
fundo,21559
faças,21484
segundos,21460
nesse,21400
vale,21398
fixe,21373
nele,21135
quantos,21078
tinham,20932
dei,20856
pensas,20854
fiquei,20848
esperem,20828
creio,20698
bons,20653
saiu,20568
conseguiu,20504
pensava,20465
levou,20449
